竜南二丁目,竜南二丁目
籠上,井宮町
籠上,昭府町
籠上,籠上
緑町,緑町
美川町,伝馬町新田
葵区あさはた一丁目,葵区北
葵区あさはた一丁目,葵区羽高
葵区あさはた二丁目,葵区北
葵区北一丁目,葵区北
葵区北一丁目,葵区柳原
葵区北三丁目,葵区北
葵区北二丁目,葵区北
葵区北五丁目,葵区北
葵区北四丁目,葵区北
葵区南一丁目,葵区南
葵区南二丁目,葵区南
葵区南沼上一丁目,葵区上土新田
葵区南沼上一丁目,葵区南沼上
葵区南沼上一丁目,葵区川合
葵区南沼上三丁目,葵区南沼上
葵区南沼上二丁目,葵区南沼上
葵区南沼上二丁目,葵区川合
葵区有永町,葵区北
葵区有永町,葵区有永
葵区有永町,葵区羽高
葵区東一丁目,葵区北
葵区東一丁目,葵区東
葵区東一丁目,葵区柳原
葵区東二丁目,葵区北
葵区東二丁目,葵区東
葵区東瀬名町,清水区鳥坂
葵区東静岡一丁目,葵区長沼
葵区羽高町,葵区北
葵区羽高町,葵区羽高
葵区羽鳥一丁目,葵区千代
葵区羽鳥一丁目,葵区羽鳥
葵区羽鳥七丁目,葵区羽鳥
葵区羽鳥三丁目,葵区羽鳥
葵区羽鳥二丁目,葵区羽鳥
葵区羽鳥五丁目,葵区羽鳥
葵区羽鳥六丁目,葵区羽鳥
葵区羽鳥四丁目,葵区羽鳥
葵区羽鳥大門町,葵区羽鳥
葵区羽鳥本町,葵区羽鳥
葵区西瀬名町,葵区川合
葵区西瀬名町,葵区瀬名
葵区西瀬名町,葵区西瀬名
葵区長沼南,葵区長沼
葵区駿府城公園,葵区駿府公園
西千代田町,西千代田町
西草深町,宮ケ崎町
西草深町,御器屋町
西草深町,東草深町三丁目
西草深町,西草深町
西草深町,馬場町
西門町,西門町
辰起町,辰起町
追手町,御幸町
追手町,追手町
長沼一丁目,長沼一丁目
長沼一丁目,長沼町一丁目
長沼三丁目,長沼町三丁目
長沼二丁目,長沼町二丁目
音羽町,音羽町
駒形通一丁目,駒形通一丁目
駒形通三丁目,駒形通三丁目
駒形通二丁目,駒形通二丁目
駒形通五丁目,安倍川町
駒形通五丁目,新通六丁目
駒形通五丁目,駒形通五丁目
駒形通五丁目,駒形通六丁目
駒形通六丁目,南安倍町
駒形通六丁目,弥勒町二丁目
駒形通六丁目,駒形通七丁目
駒形通六丁目,駒形通五丁目
駒形通六丁目,駒形通六丁目
駒形通四丁目,新通五丁目
駒形通四丁目,羽衣町
駒形通四丁目,駒形通四丁目
駿府公園,追手町
駿府町,追手町
駿河区東静岡二丁目,葵区長沼
鷹匠一丁目,鷹匠町一丁目
鷹匠三丁目,横内町
鷹匠三丁目,鷹匠町一丁目
鷹匠三丁目,鷹匠町三丁目
鷹匠二丁目,日吉町
鷹匠二丁目,鷹匠町三丁目
鷹匠二丁目,鷹匠町二丁目
